case_id,model_id,quarter,segment,metric_name,current_value,previous_value,historical_mean,historical_std,percent_change,z_score,rolling_mean,rolling_std,sample_size,missing_rate,expected_direction,scenario_type,scenario_difficulty,ground_truth_anomaly,ground_truth_severity,ground_truth_anomaly_type,ground_truth_reason,available_evidence,contradictory_evidence,missing_evidence_flag
case_0017,model_05,2023Q4,commercial,default_rate,0.042216,0.048246,0.042377,0.002953,-0.124998,-0.05461,0.043245,0.002924,1345,0.01393,higher_is_worse,gradual_drift,easy,True,medium,gradual_drift,Monotonic drift over the most recent four quarters.,"features,deterministic,chart",False,False
case_0018,model_02,2023Q4,retail,ks_statistic,0.405378,0.44384,0.453566,0.035744,-0.086657,-1.348143,0.448994,0.029933,4594,0.019137,lower_is_worse,seasonal_movement,ambiguous,False,none,seasonal,Final-quarter movement matches the established seasonal pattern.,"features,deterministic,chart",False,False
case_0019,model_01,2023Q4,small_business,auc,0.806254,0.768486,0.811941,0.027914,0.049146,-0.203746,0.803606,0.02158,1142,0.121359,lower_is_worse,missing_data_spike,easy,True,medium,data_quality,Sharp rise in missing-data rate undermines metric reliability.,"features,deterministic,chart",False,False
case_0020,model_08,2023Q4,retail,psi,0.0277,0.078755,0.057646,0.021277,-0.648275,-1.407398,0.063529,0.023447,59,0.014533,higher_is_worse,small_sample_instability,moderate,False,none,small_sample_instability,Apparent movement attributable to small-sample variance.,"features,deterministic,chart",False,False
case_0021,model_08,2023Q4,small_business,default_rate,0.048476,0.038529,0.041641,0.00297,0.258173,2.301909,0.04169,0.003982,2495,0.003821,higher_is_worse,segment_specific_anomaly,moderate,True,high,segment_anomaly,Shift isolated to this segment while peers remain stable.,"features,deterministic,chart",False,False
case_0022,model_06,2023Q4,retail,ks_statistic,0.475046,0.439206,0.440063,0.033227,0.081603,1.052848,0.44306,0.019069,1489,0.019333,lower_is_worse,contradictory_metric_movement,ambiguous,True,medium,contradiction,Metric moves inconsistently with a paired metric; needs review.,"features,deterministic,chart",True,False
case_0023,model_08,2023Q4,commercial,auc,0.726351,0.799996,0.819386,0.020847,-0.092057,-4.462846,0.804329,0.050209,3151,0.018139,lower_is_worse,macro_shock,easy,True,high,macro_shock,Large coordinated movement consistent with a macro shock.,"features,deterministic,chart",False,False
case_0024,model_06,2023Q4,commercial,auc,0.900223,0.807675,0.815753,0.023727,0.114585,3.560117,0.842861,0.045391,4628,0.000624,lower_is_worse,false_positive_trap,adversarial,False,none,expected_movement,Large movement is expected (planned rebasing); not a model anomaly.,"features,deterministic,chart",False,False
case_0025,model_07,2023Q4,small_business,default_rate,0.054211,0.048344,0.044166,0.006896,0.121343,1.456671,0.047545,0.005012,100,0.044458,higher_is_worse,false_negative_trap,adversarial,True,medium,masked_shift,Genuine shift masked by sampling noise; weak single-metric signal.,"features,deterministic,chart",False,False
case_0026,model_03,2023Q4,commercial,psi,0.0242,0.037967,0.051181,0.013804,-0.362593,-1.954576,0.043535,0.015305,878,0.034263,higher_is_worse,incomplete_evidence,moderate,False,none,indeterminate,Key evidence is missing; case is not decidable as presented.,"features,chart",False,True
case_0027,model_05,2023Q4,retail,psi,0.090321,0.012311,0.033182,0.019061,6.336707,2.997643,0.040348,0.034475,348,0.021975,higher_is_worse,noisy_data,moderate,True,low,noisy_signal,Signal is heavily obscured by volatility.,"features,deterministic,chart",False,False
case_0028,model_08,2023Q4,small_business,default_rate,0.0405,0.038294,0.041325,0.007009,0.057613,-0.117744,0.043088,0.007661,2588,0.007111,higher_is_worse,recovery_after_shock,ambiguous,False,none,recovery,Prior shock has recovered to baseline; final quarter is normal.,"features,deterministic,chart",False,False
case_0029,model_06,2023Q4,retail,ks_statistic,0.55409,0.483281,0.448088,0.023429,0.146518,4.524369,0.489255,0.043194,3293,0.015491,lower_is_worse,metric_definition_change,moderate,False,none,definition_change,"Step change reflects a metric-definition change, not degradation.","features,deterministic,chart",False,False
case_0030,model_01,2023Q4,commercial,psi,0.070149,0.057223,0.050403,0.02292,0.225891,0.861493,0.050413,0.017806,1303,0.001791,higher_is_worse,normal_variation,moderate,False,none,normal_variation,Final quarter within normal historical variation.,"features,deterministic,chart",False,False
case_0031,model_07,2023Q4,retail,default_rate,0.053591,0.044343,0.040738,0.006029,0.208561,2.131872,0.042345,0.00914,4081,0.003521,higher_is_worse,sudden_level_shift,ambiguous,True,medium,level_shift,Sudden level shift in the final quarter relative to history.,"features,deterministic,chart",False,False
case_0032,model_06,2023Q4,commercial,auc,0.700013,0.756872,0.817316,0.038297,-0.075125,-3.06299,0.758943,0.039088,4145,0.004544,lower_is_worse,gradual_drift,ambiguous,True,medium,gradual_drift,Monotonic drift over the most recent four quarters.,"features,deterministic,chart",False,False
case_0033,model_06,2023Q4,commercial,default_rate,0.027948,0.040369,0.041546,0.00773,-0.307696,-1.759152,0.040042,0.008853,2281,0.006826,higher_is_worse,seasonal_movement,ambiguous,False,none,seasonal,Final-quarter movement matches the established seasonal pattern.,"features,deterministic,chart",False,False
case_0034,model_02,2023Q4,retail,default_rate,0.043792,0.045797,0.041231,0.005402,-0.043778,0.474007,0.046996,0.002338,1370,0.27984,higher_is_worse,missing_data_spike,moderate,True,medium,data_quality,Sharp rise in missing-data rate undermines metric reliability.,"features,deterministic,chart",False,False
case_0035,model_08,2023Q4,commercial,ks_statistic,0.461101,0.451651,0.466815,0.048447,0.020923,-0.117935,0.443392,0.017368,38,0.020312,lower_is_worse,small_sample_instability,ambiguous,False,none,small_sample_instability,Apparent movement attributable to small-sample variance.,"features,deterministic,chart",False,False
case_0036,model_07,2023Q4,commercial,auc,0.74261,0.804873,0.806882,0.028823,-0.077358,-2.229842,0.800624,0.035386,1403,0.006271,lower_is_worse,segment_specific_anomaly,ambiguous,True,high,segment_anomaly,Shift isolated to this segment while peers remain stable.,"features,deterministic,chart",False,False
case_0037,model_01,2023Q4,small_business,score_mean,639.271863,607.574577,620.389642,13.864849,0.05217,1.361877,626.414522,13.547213,3741,0.013337,stable,contradictory_metric_movement,ambiguous,True,medium,contradiction,Metric moves inconsistently with a paired metric; needs review.,"features,deterministic,chart",True,False
case_0038,model_04,2023Q4,retail,auc,0.761714,0.82833,0.825232,0.024497,-0.080422,-2.592963,0.819003,0.033786,2222,0.013507,lower_is_worse,macro_shock,moderate,True,high,macro_shock,Large coordinated movement consistent with a macro shock.,"features,deterministic,chart",False,False
case_0039,model_06,2023Q4,commercial,auc,0.915666,0.783836,0.809956,0.026458,0.168186,3.995341,0.835593,0.052199,3345,0.00324,lower_is_worse,false_positive_trap,adversarial,False,none,expected_movement,Large movement is expected (planned rebasing); not a model anomaly.,"features,deterministic,chart",False,False
case_0040,model_05,2023Q4,retail,score_mean,655.974747,587.132419,620.471908,18.034374,0.117252,1.968621,625.578835,24.815584,50,0.032988,stable,false_negative_trap,adversarial,True,medium,masked_shift,Genuine shift masked by sampling noise; weak single-metric signal.,"features,deterministic,chart",False,False
case_0041,model_04,2023Q4,small_business,score_mean,596.490601,607.692893,622.86184,15.399341,-0.018434,-1.712491,610.35833,9.680386,230,0.012784,stable,incomplete_evidence,ambiguous,False,none,indeterminate,Key evidence is missing; case is not decidable as presented.,"features,chart",False,True
case_0042,model_06,2023Q4,commercial,score_mean,656.098905,615.371592,618.290773,13.90937,0.066183,2.718177,624.126154,18.529887,1573,0.013466,stable,noisy_data,moderate,True,low,noisy_signal,Signal is heavily obscured by volatility.,"features,deterministic,chart",False,False
case_0043,model_02,2023Q4,retail,default_rate,0.040356,0.039808,0.042069,0.004325,0.013768,-0.396041,0.041988,0.005867,2092,0.014817,higher_is_worse,recovery_after_shock,ambiguous,False,none,recovery,Prior shock has recovered to baseline; final quarter is normal.,"features,deterministic,chart",False,False
case_0044,model_01,2023Q4,small_business,default_rate,0.065686,0.041598,0.041661,0.004915,0.579083,4.888469,0.046584,0.011336,2795,0.007805,higher_is_worse,metric_definition_change,adversarial,False,none,definition_change,"Step change reflects a metric-definition change, not degradation.","features,deterministic,chart",False,False
case_0045,model_01,2023Q4,commercial,psi,0.048006,0.058225,0.048999,0.017818,-0.17552,-0.055763,0.048111,0.019528,4168,0.00841,higher_is_worse,normal_variation,easy,False,none,normal_variation,Final quarter within normal historical variation.,"features,deterministic,chart",False,False
case_0046,model_08,2023Q4,small_business,default_rate,0.05826,0.044373,0.042903,0.003967,0.312958,3.870907,0.047058,0.006514,4396,9e-06,higher_is_worse,sudden_level_shift,easy,True,high,level_shift,Sudden level shift in the final quarter relative to history.,"features,deterministic,chart",False,False
case_0047,model_02,2023Q4,small_business,auc,0.764576,0.806193,0.808589,0.018563,-0.051621,-2.370976,0.788122,0.025376,3211,0.005524,lower_is_worse,gradual_drift,easy,True,medium,gradual_drift,Monotonic drift over the most recent four quarters.,"features,deterministic,chart",False,False
case_0048,model_03,2023Q4,commercial,auc,0.729233,0.811904,0.824662,0.045145,-0.101824,-2.113833,0.814113,0.056872,1136,0.01697,lower_is_worse,seasonal_movement,ambiguous,False,none,seasonal,Final-quarter movement matches the established seasonal pattern.,"features,deterministic,chart",False,False
case_0049,model_06,2023Q4,retail,score_mean,635.923277,621.259246,619.119292,9.559501,0.023604,1.757831,628.791814,5.860989,958,0.264539,stable,missing_data_spike,moderate,True,medium,data_quality,Sharp rise in missing-data rate undermines metric reliability.,"features,deterministic,chart",False,False
case_0050,model_01,2023Q4,retail,score_mean,621.557536,614.82277,618.909522,12.910228,0.010954,0.20511,618.879367,11.571817,25,0.01616,stable,small_sample_instability,moderate,False,none,small_sample_instability,Apparent movement attributable to small-sample variance.,"features,deterministic,chart",False,False
case_0051,model_03,2023Q4,commercial,score_mean,642.895147,617.834201,620.968519,8.360172,0.040563,2.622749,624.008941,10.961691,1080,0.009523,stable,segment_specific_anomaly,moderate,True,high,segment_anomaly,Shift isolated to this segment while peers remain stable.,"features,deterministic,chart",False,False
case_0052,model_08,2023Q4,commercial,psi,0.092544,0.105484,0.059121,0.031559,-0.122668,1.059076,0.076038,0.024749,2542,0.012962,higher_is_worse,contradictory_metric_movement,ambiguous,True,medium,contradiction,Metric moves inconsistently with a paired metric; needs review.,"features,deterministic,chart",True,False
case_0053,model_08,2023Q4,commercial,auc,0.766421,0.824056,0.819332,0.01411,-0.069941,-3.74985,0.809658,0.025029,3322,0.011696,lower_is_worse,macro_shock,easy,True,high,macro_shock,Large coordinated movement consistent with a macro shock.,"features,deterministic,chart",False,False
case_0054,model_07,2023Q4,retail,default_rate,0.052371,0.033866,0.038757,0.003027,0.546394,4.498153,0.041004,0.006967,4073,0.015632,higher_is_worse,false_positive_trap,adversarial,False,none,expected_movement,Large movement is expected (planned rebasing); not a model anomaly.,"features,deterministic,chart",False,False
case_0055,model_01,2023Q4,small_business,default_rate,0.065094,0.048903,0.03881,0.012196,0.331066,2.155164,0.05658,0.007471,91,0.027348,higher_is_worse,false_negative_trap,ambiguous,True,medium,masked_shift,Genuine shift masked by sampling noise; weak single-metric signal.,"features,deterministic,chart",False,False
case_0056,model_05,2023Q4,retail,default_rate,0.041292,0.040725,0.038261,0.009631,0.013929,0.314729,0.03766,0.005262,613,0.003324,higher_is_worse,incomplete_evidence,ambiguous,False,none,indeterminate,Key evidence is missing; case is not decidable as presented.,"features,chart",False,True
case_0057,model_01,2023Q4,small_business,score_mean,657.701974,636.352456,617.778591,31.228767,0.03355,1.278417,624.56649,31.921672,1166,0.026639,stable,noisy_data,ambiguous,False,none,noise,Signal is heavily obscured by volatility.,"features,deterministic,chart",False,False
case_0058,model_03,2023Q4,retail,auc,0.82864,0.811095,0.8227,0.024713,0.021631,0.240345,0.835998,0.027988,911,0.008896,lower_is_worse,recovery_after_shock,ambiguous,False,none,recovery,Prior shock has recovered to baseline; final quarter is normal.,"features,deterministic,chart",False,False
case_0059,model_03,2023Q4,retail,auc,0.921967,0.820145,0.815428,0.018616,0.124151,5.722949,0.846812,0.045607,1232,0.004704,lower_is_worse,metric_definition_change,moderate,False,none,definition_change,"Step change reflects a metric-definition change, not degradation.","features,deterministic,chart",False,False
case_0060,model_03,2023Q4,commercial,score_mean,612.732439,620.372976,621.279366,7.474177,-0.012316,-1.143528,619.614832,5.849325,1220,0.007091,stable,normal_variation,easy,False,none,normal_variation,Final quarter within normal historical variation.,"features,deterministic,chart",False,False
case_0061,model_04,2023Q4,retail,psi,0.085284,0.053388,0.04194,0.013444,0.597454,3.224066,0.055457,0.019376,3077,0.014057,higher_is_worse,sudden_level_shift,moderate,True,medium,level_shift,Sudden level shift in the final quarter relative to history.,"features,deterministic,chart",False,False
case_0062,model_03,2023Q4,retail,auc,0.758118,0.742904,0.804338,0.027741,0.020478,-1.666161,0.774675,0.031192,3948,0.009301,lower_is_worse,gradual_drift,moderate,True,medium,gradual_drift,Monotonic drift over the most recent four quarters.,"features,deterministic,chart",False,False
case_0063,model_06,2023Q4,commercial,score_mean,584.167925,629.033752,622.873546,25.248252,-0.071325,-1.533002,622.192045,26.907573,1321,0.01519,stable,seasonal_movement,ambiguous,False,none,seasonal,Final-quarter movement matches the established seasonal pattern.,"features,deterministic,chart",False,False
case_0064,model_07,2023Q4,small_business,default_rate,0.042778,0.032956,0.038502,0.006386,0.298035,0.66951,0.037715,0.005173,572,0.298724,higher_is_worse,missing_data_spike,ambiguous,True,medium,data_quality,Sharp rise in missing-data rate undermines metric reliability.,"features,deterministic,chart",False,False
case_0065,model_08,2023Q4,small_business,auc,0.802441,0.821734,0.823423,0.032165,-0.023478,-0.652344,0.803284,0.020315,77,0.006075,lower_is_worse,small_sample_instability,ambiguous,False,none,small_sample_instability,Apparent movement attributable to small-sample variance.,"features,deterministic,chart",False,False
case_0066,model_02,2023Q4,retail,score_mean,641.171584,581.054603,612.918412,18.309203,0.103462,1.543113,616.040348,21.948229,1474,0.01075,stable,segment_specific_anomaly,ambiguous,True,high,segment_anomaly,Shift isolated to this segment while peers remain stable.,"features,deterministic,chart",False,False
case_0067,model_08,2023Q4,small_business,ks_statistic,0.479218,0.448168,0.444763,0.034165,0.069281,1.008473,0.434539,0.033017,2169,0.00868,lower_is_worse,contradictory_metric_movement,adversarial,True,medium,contradiction,Metric moves inconsistently with a paired metric; needs review.,"features,deterministic,chart",True,False
case_0068,model_01,2023Q4,small_business,auc,0.751488,0.793094,0.811477,0.020494,-0.052459,-2.927097,0.789333,0.029028,4978,0.016659,lower_is_worse,macro_shock,moderate,True,high,macro_shock,Large coordinated movement consistent with a macro shock.,"features,deterministic,chart",False,False
case_0069,model_06,2023Q4,commercial,ks_statistic,0.552146,0.477244,0.463587,0.021264,0.156947,4.164639,0.483513,0.041608,4660,0.012036,lower_is_worse,false_positive_trap,adversarial,False,none,expected_movement,Large movement is expected (planned rebasing); not a model anomaly.,"features,deterministic,chart",False,False
case_0070,model_05,2023Q4,retail,score_mean,693.961046,574.073422,624.02004,36.475248,0.208837,1.917492,615.173711,47.40419,65,0.051509,stable,false_negative_trap,moderate,True,medium,masked_shift,Genuine shift masked by sampling noise; weak single-metric signal.,"features,deterministic,chart",False,False
case_0071,model_03,2023Q4,commercial,default_rate,0.048145,0.040676,0.040004,0.002396,0.183602,3.39769,0.041048,0.00439,631,0.001122,higher_is_worse,incomplete_evidence,ambiguous,True,low,indeterminate,Key evidence is missing; case is not decidable as presented.,"features,chart",False,True
case_0072,model_02,2023Q4,retail,ks_statistic,0.423149,0.444561,0.439368,0.051684,-0.048166,-0.313811,0.434274,0.020177,743,0.001108,lower_is_worse,noisy_data,ambiguous,False,none,noise,Signal is heavily obscured by volatility.,"features,deterministic,chart",False,False
case_0073,model_06,2023Q4,small_business,ks_statistic,0.457582,0.441682,0.457599,0.026858,0.035997,-0.000645,0.466311,0.028006,2907,0.005443,lower_is_worse,recovery_after_shock,ambiguous,False,none,recovery,Prior shock has recovered to baseline; final quarter is normal.,"features,deterministic,chart",False,False
case_0074,model_05,2023Q4,retail,auc,0.915588,0.802113,0.821837,0.021828,0.141469,4.294881,0.834619,0.048152,2687,0.003211,lower_is_worse,metric_definition_change,adversarial,False,none,definition_change,"Step change reflects a metric-definition change, not degradation.","features,deterministic,chart",False,False
case_0075,model_04,2023Q4,commercial,default_rate,0.036681,0.036769,0.040523,0.003716,-0.002397,-1.033969,0.036886,0.00042,2028,0.00934,higher_is_worse,normal_variation,easy,False,none,normal_variation,Final quarter within normal historical variation.,"features,deterministic,chart",False,False
case_0076,model_02,2023Q4,commercial,ks_statistic,0.37532,0.444288,0.46035,0.018558,-0.155231,-4.581833,0.428595,0.031572,4556,0.010099,lower_is_worse,sudden_level_shift,easy,True,high,level_shift,Sudden level shift in the final quarter relative to history.,"features,deterministic,chart",False,False
case_0077,model_01,2023Q4,commercial,ks_statistic,0.425434,0.395647,0.443579,0.024794,0.075287,-0.731829,0.428336,0.024754,3251,0.002632,lower_is_worse,gradual_drift,moderate,True,medium,gradual_drift,Monotonic drift over the most recent four quarters.,"features,deterministic,chart",False,False
case_0078,model_07,2023Q4,retail,psi,0.01306,0.045265,0.052512,0.029958,-0.711483,-1.31692,0.052524,0.029631,1453,0.017779,higher_is_worse,seasonal_movement,easy,False,none,seasonal,Final-quarter movement matches the established seasonal pattern.,"features,deterministic,chart",False,False
case_0079,model_04,2023Q4,commercial,default_rate,0.031891,0.03706,0.040985,0.003788,-0.139479,-2.401099,0.03513,0.00195,1301,0.216163,higher_is_worse,missing_data_spike,easy,True,medium,data_quality,Sharp rise in missing-data rate undermines metric reliability.,"features,deterministic,chart",False,False
case_0080,model_08,2023Q4,small_business,score_mean,569.978729,642.95285,641.490152,30.441108,-0.113498,-2.349173,650.289637,50.874919,61,0.000313,stable,small_sample_instability,adversarial,False,none,small_sample_instability,Apparent movement attributable to small-sample variance.,"features,deterministic,chart",False,False
case_0081,model_04,2023Q4,commercial,psi,0.095544,0.067025,0.054449,0.018717,0.425493,2.195623,0.065227,0.019615,1107,0.008988,higher_is_worse,segment_specific_anomaly,moderate,True,high,segment_anomaly,Shift isolated to this segment while peers remain stable.,"features,deterministic,chart",False,False
case_0082,model_02,2023Q4,retail,score_mean,645.103611,618.125134,625.11587,14.521139,0.043646,1.376458,635.1443,15.533,2867,0.008231,stable,contradictory_metric_movement,ambiguous,True,medium,contradiction,Metric moves inconsistently with a paired metric; needs review.,"features,deterministic,chart",True,False
case_0083,model_03,2023Q4,retail,score_mean,670.327654,630.993437,620.407739,9.746626,0.062337,5.121764,637.725981,19.412882,1002,0.001013,stable,macro_shock,easy,True,high,macro_shock,Large coordinated movement consistent with a macro shock.,"features,deterministic,chart",False,False
case_0084,model_01,2023Q4,small_business,default_rate,0.051766,0.040597,0.039143,0.003168,0.275107,3.984322,0.043723,0.005464,2123,0.005164,higher_is_worse,false_positive_trap,moderate,False,none,expected_movement,Large movement is expected (planned rebasing); not a model anomaly.,"features,deterministic,chart",False,False
case_0085,model_04,2023Q4,commercial,ks_statistic,0.368357,0.440411,0.431855,0.03114,-0.163606,-2.039114,0.421053,0.032906,55,0.022821,lower_is_worse,false_negative_trap,adversarial,True,medium,masked_shift,Genuine shift masked by sampling noise; weak single-metric signal.,"features,deterministic,chart",False,False
case_0086,model_08,2023Q4,commercial,default_rate,0.058315,0.034973,0.037047,0.006945,0.667431,3.062299,0.04043,0.011163,658,0.013434,higher_is_worse,incomplete_evidence,ambiguous,True,low,indeterminate,Key evidence is missing; case is not decidable as presented.,"features,chart",False,True
case_0087,model_07,2023Q4,small_business,ks_statistic,0.414719,0.391862,0.437186,0.041185,0.058329,-0.545525,0.417164,0.029202,553,0.008764,lower_is_worse,noisy_data,ambiguous,False,none,noise,Signal is heavily obscured by volatility.,"features,deterministic,chart",False,False
case_0088,model_04,2023Q4,small_business,default_rate,0.045433,0.046279,0.044269,0.007113,-0.018279,0.163712,0.047219,0.007735,2658,0.019719,higher_is_worse,recovery_after_shock,moderate,False,none,recovery,Prior shock has recovered to baseline; final quarter is normal.,"features,deterministic,chart",False,False
case_0089,model_01,2023Q4,commercial,score_mean,666.547602,625.526236,618.030002,9.477579,0.065579,5.119198,632.228486,20.365354,4151,0.018173,stable,metric_definition_change,ambiguous,False,none,definition_change,"Step change reflects a metric-definition change, not degradation.","features,deterministic,chart",False,False
case_0090,model_06,2023Q4,small_business,score_mean,626.933325,606.741536,617.690539,8.803949,0.033279,1.049846,618.045501,7.813954,1670,0.008442,stable,normal_variation,moderate,False,none,normal_variation,Final quarter within normal historical variation.,"features,deterministic,chart",False,False
case_0091,model_08,2023Q4,commercial,score_mean,652.488524,614.766399,623.928721,7.661802,0.06136,3.727557,631.645309,13.910771,2881,0.016904,stable,sudden_level_shift,easy,True,high,level_shift,Sudden level shift in the final quarter relative to history.,"features,deterministic,chart",False,False
case_0092,model_01,2023Q4,commercial,psi,0.053622,0.104212,0.062603,0.027257,-0.485447,-0.329475,0.065895,0.025423,4790,0.000764,higher_is_worse,gradual_drift,ambiguous,True,medium,gradual_drift,Monotonic drift over the most recent four quarters.,"features,deterministic,chart",False,False
case_0093,model_01,2023Q4,small_business,score_mean,590.193313,617.543381,622.66408,22.000681,-0.044288,-1.475898,619.648112,21.111281,3310,0.002267,stable,seasonal_movement,easy,False,none,seasonal,Final-quarter movement matches the established seasonal pattern.,"features,deterministic,chart",False,False
case_0094,model_04,2023Q4,commercial,default_rate,0.041172,0.042005,0.040279,0.003339,-0.019832,0.267633,0.039945,0.002455,449,0.251846,higher_is_worse,missing_data_spike,easy,True,medium,data_quality,Sharp rise in missing-data rate undermines metric reliability.,"features,deterministic,chart",False,False
case_0095,model_03,2023Q4,retail,ks_statistic,0.45387,0.392007,0.444673,0.036548,0.157812,0.251652,0.420237,0.022693,43,0.010924,lower_is_worse,small_sample_instability,moderate,False,none,small_sample_instability,Apparent movement attributable to small-sample variance.,"features,deterministic,chart",False,False
case_0096,model_04,2023Q4,retail,psi,0.08626,0.056575,0.048226,0.016961,0.524684,2.242395,0.056335,0.018934,2049,0.017033,higher_is_worse,segment_specific_anomaly,moderate,True,high,segment_anomaly,Shift isolated to this segment while peers remain stable.,"features,deterministic,chart",False,False
case_0097,model_07,2023Q4,retail,ks_statistic,0.459605,0.444065,0.426567,0.028233,0.034995,1.170207,0.439966,0.019138,3452,0.006318,lower_is_worse,contradictory_metric_movement,adversarial,True,medium,contradiction,Metric moves inconsistently with a paired metric; needs review.,"features,deterministic,chart",True,False
case_0098,model_06,2023Q4,retail,score_mean,655.523681,625.454359,616.224481,11.11464,0.048076,3.535805,624.836196,19.6657,1023,0.00851,stable,macro_shock,moderate,True,high,macro_shock,Large coordinated movement consistent with a macro shock.,"features,deterministic,chart",False,False
case_0099,model_03,2023Q4,commercial,score_mean,658.050378,615.335078,618.849927,10.005379,0.069418,3.917938,625.827977,19.494259,2993,0.007381,stable,false_positive_trap,adversarial,False,none,expected_movement,Large movement is expected (planned rebasing); not a model anomaly.,"features,deterministic,chart",False,False
